link_distance,coords,IPs
3908.4685747564413,"[(32.7405, -117.0935), (40.7234, -74.0054)]",
3908.4378470531324,"[(32.7405, -117.0935), (40.7128, -74.006)]",
5.51462261152504,"[(25.7617, -80.1918), (25.7975, -80.23)]",
4114.157342818166,"[(25.7617, -80.1918), (37.2414, -121.78299999999999)]",
2371.489086880979,"[(32.7767, -96.79700000000001), (37.5272, -122.26100000000001)]",
1528.811422923071,"[(37.5272, -122.26100000000001), (39.6004, -104.891)]",
4135.345540729686,"[(37.5272, -122.26100000000001), (40.7234, -74.0054)]",
52.89755002190521,"[(37.2414, -121.78299999999999), (37.5272, -122.26100000000001)]",
3875.612974892549,"[(40.7128, -74.0059), (47.6062, -122.33200000000001)]",
3908.4462957525056,"[(32.7405, -117.0935), (40.7128, -74.0059)]",
3908.4378470531324,"[(32.7405, -117.0935), (40.7128, -74.006)]",
550.7793252340342,"[(40.7234, -74.0054), (43.6493, -79.3912)]",
3625.3111434799466,"[(37.2414, -121.78299999999999), (43.6493, -79.3912)]",
4106.786223818129,"[(37.2414, -121.78299999999999), (40.7234, -74.0054)]",
6015.013445524035,"[(43.6509, -79.3618), (48.9067, 2.36939)]",
6014.708564682592,"[(43.6509, -79.3618), (48.8607, 2.3281)]",
8993.173375043269,"[(37.2414, -121.78299999999999), (48.8607, 2.3281)]",
1495.8690498294502,"[(37.2414, -121.78299999999999), (39.6004, -104.891)]",
5878.216154278451,"[(40.7234, -74.0054), (52.36, 4.89814)]",
8820.074542272745,"[(37.2414, -121.78299999999999), (52.36, 4.89814)]",
4106.786223818129,"[(37.2414, -121.78299999999999), (40.7234, -74.0054)]",
4.993939204532348,"[(-33.9118, 151.19299999999996), (-33.8688, 151.209)]",
15566.027864612608,"[(-33.8688, 151.209), (43.6509, -79.3618)]",
3627.667915146423,"[(37.2414, -121.78299999999999), (43.6509, -79.3618)]",
2884.852238891431,"[(22.2872, 114.212), (35.6882, 139.7532)]",
12045.67659111233,"[(22.2872, 114.212), (39.6004, -104.891)]",
11784.579443867424,"[(28.552, 77.2695), (40.7234, -74.0054)]",
12455.955736364243,"[(28.552, 77.2695), (37.2414, -121.78299999999999)]",
479.2401525867921,"[(48.8566, 2.35222), (50.1109, 8.68213)]",
6202.101268386315,"[(39.0438, -77.4874), (48.8566, 2.35222)]",
913.9425832802862,"[(39.0438, -77.4874), (41.8528, -87.6228)]",
913.9425832802862,"[(39.0438, -77.4874), (41.8528, -87.6228)]",
847.7505515233868,"[(33.9526, -84.5499), (39.0438, -77.4874)]",
917.4036919566938,"[(33.9526, -84.5499), (41.8528, -87.6228)]",
917.4036919566938,"[(33.9526, -84.5499), (41.8528, -87.6228)]",
989.7790664313885,"[(33.9526, -84.5499), (41.5066, -90.5301)]",
237.90704964591168,"[(41.5066, -90.5301), (42.176, -87.809)]",
536.9243561626506,"[(40.8364, -74.1403), (43.6644, -79.4195)]",
942.188940197351,"[(41.5066, -90.5301), (43.6644, -79.4195)]",
237.90704964591168,"[(41.5066, -90.5301), (42.176, -87.809)]",
1164.0779330325054,"[(25.8119, -80.2318), (34.7777, -86.5445)]",
2903.1929041619746,"[(34.0522, -118.244), (34.7777, -86.5445)]",
3660.097634643657,"[(34.0522, -118.244), (39.0438, -77.4874)]",
340.0806177384188,"[(39.0438, -77.4874), (40.7357, -74.1724)]",
