length,num_missed,route_distance(km),route_num,percent_complete,percent_missing,end_latency,birds_eye_distance(km)
16.0,11.0,0.0,1.0,0.3125,0.6875,0.0,-1.0
14.0,9.0,7816.906421809574,2.0,0.35714285714285715,0.6428571428571428,0.0,-1.0
15.0,10.0,4119.671965429691,3.0,0.3333333333333333,0.6666666666666667,0.0,-1.0
11.0,4.0,3900.30050980405,4.0,0.6363636363636364,0.36363636363636365,0.0,-1.0
14.0,9.0,4188.243090751591,5.0,0.35714285714285715,0.6428571428571428,0.0,-1.0
14.0,9.0,11692.497117698187,6.0,0.35714285714285715,0.6428571428571428,0.0,-1.0
14.0,9.0,4176.090468713981,7.0,0.35714285714285715,0.6428571428571428,0.0,-1.0
15.0,11.0,4106.786223818129,8.0,0.26666666666666666,0.7333333333333334,0.0,-1.0
16.0,4.0,22518.764435079345,9.0,0.75,0.25,0.0,-1.0
18.0,10.0,14698.290696551196,10.0,0.4444444444444444,0.5555555555555556,0.0,-1.0
15.0,11.0,4106.786223818129,11.0,0.26666666666666666,0.7333333333333334,0.0,-1.0
17.0,10.0,19198.689718963564,12.0,0.4117647058823529,0.5882352941176471,0.0,-1.0
14.0,7.0,14930.528830003761,13.0,0.5,0.5,0.0,-1.0
20.0,13.0,24240.535180231665,14.0,0.35,0.65,0.0,-1.0
20.0,1.0,12419.470639047751,15.0,0.95,0.050000000000000044,125.9,6971.270166479129
9.0,3.0,1717.0203460059133,16.0,0.6666666666666666,0.33333333333333337,39.1,704.3034746569814
17.0,2.0,15120.282725882631,17.0,0.8823529411764706,0.11764705882352944,46.1,1943.4166579841499
19.0,0.0,15890.383019110823,18.0,1.0,0.0,44.1,1311.06478653414
9.0,1.0,12956.788645804183,19.0,0.8888888888888888,0.11111111111111116,66.1,704.3034746569814
14.0,2.0,31672.558432486818,20.0,0.8571428571428571,0.1428571428571429,57.5,2769.7227025470643
14.0,3.0,2853.990466085921,21.0,0.7857142857142857,0.2142857142857143,36.6,-1.0
15.0,1.0,24711.825144605762,22.0,0.9333333333333333,0.06666666666666665,123.0,704.3034746569814
14.0,3.0,28219.984123335234,23.0,0.7857142857142857,0.2142857142857143,110.7,6657.00367503449
16.0,1.0,27036.89629898667,24.0,0.9375,0.0625,116.4,704.3034746569814
19.0,0.0,58234.03394150687,25.0,1.0,0.0,245.3,704.3034746569814
20.0,3.0,24461.216496539055,26.0,0.85,0.15000000000000002,320.2,14866.841616799775
19.0,0.0,57152.99293428457,27.0,1.0,0.0,180.6,10123.011065208344
18.0,3.0,34680.477233646394,28.0,0.8333333333333334,0.16666666666666663,243.1,-1.0
11.0,1.0,19046.859446661278,29.0,0.9090909090909091,0.09090909090909094,97.1,6171.797752441353
10.0,1.0,2710.063383305944,30.0,0.9,0.09999999999999998,5.5,541.1861856953561
10.0,2.0,2239.700512949382,31.0,0.8,0.19999999999999996,34.8,1804.7662516202836
8.0,1.0,2274.6036766141656,32.0,0.875,0.125,41.1,2244.8414749344356
9.0,1.0,11523.216986798778,33.0,0.8888888888888888,0.11111111111111116,68.7,541.1861856953561
9.0,2.0,9151.89396943739,34.0,0.7777777777777778,0.2222222222222222,68.2,3870.5430066594054
10.0,3.0,1954.9686691715376,35.0,0.7,0.30000000000000004,21.8,-1.0
11.0,2.0,17319.925064078077,36.0,0.8181818181818182,0.18181818181818177,77.4,541.1861856953561
13.0,3.0,6355.94040029712,37.0,0.7692307692307693,0.23076923076923073,78.7,5806.002958059134
12.0,1.0,30654.622862427135,38.0,0.9166666666666666,0.08333333333333337,97.9,541.1861856953561
12.0,1.0,48030.66459349039,39.0,0.9166666666666666,0.08333333333333337,229.4,541.1861856953561
12.0,3.0,16955.805025978996,40.0,0.75,0.25,217.6,16015.126148168007
10.0,0.0,30098.020880705353,41.0,1.0,0.0,164.1,10834.38194376693
13.0,4.0,27252.53113283933,42.0,0.6923076923076923,0.3076923076923077,213.1,-1.0
11.0,3.0,10066.759222923045,43.0,0.7272727272727273,0.2727272727272727,218.4,-1.0
12.0,3.0,17718.178523790924,44.0,0.75,0.25,163.8,-1.0
11.0,4.0,9185.251412910367,45.0,0.6363636363636364,0.36363636363636365,472.0,-1.0
14.0,3.0,17865.806614383346,46.0,0.7857142857142857,0.2142857142857143,635.9,-1.0
16.0,8.0,9253.822538232267,47.0,0.5,0.5,1662.0,-1.0
11.0,3.0,20314.10236622752,48.0,0.7272727272727273,0.2727272727272727,793.9,-1.0
12.0,4.0,9241.669916194658,49.0,0.6666666666666666,0.33333333333333337,1074.0,-1.0
12.0,3.0,19312.659391321155,50.0,0.75,0.25,846.3,-1.0
12.0,3.0,26088.47483273057,51.0,0.75,0.25,601.1,-1.0
15.0,4.0,19763.870144031873,52.0,0.7333333333333333,0.2666666666666667,1675.0,-1.0
12.0,4.0,9172.365671298805,53.0,0.6666666666666666,0.33333333333333337,2061.0,-1.0
21.0,11.0,24264.26916644424,54.0,0.47619047619047616,0.5238095238095238,3102.0,-1.0
11.0,2.0,18042.282827734678,55.0,0.8181818181818182,0.18181818181818177,2946.0,-1.0
17.0,7.0,29306.11462771234,56.0,0.5882352941176471,0.4117647058823529,3252.0,-1.0
13.0,6.0,6802.78465523895,57.0,0.5384615384615384,0.46153846153846156,0.0,-1.0
11.0,4.0,1107.7722361214726,58.0,0.6363636363636364,0.36363636363636365,0.0,-1.0
12.0,6.0,1866.9775237479093,59.0,0.5,0.5,0.0,-1.0
12.0,4.0,2381.403625843219,60.0,0.6666666666666666,0.33333333333333337,0.0,-1.0
15.0,4.0,17341.655596370856,61.0,0.7333333333333333,0.2666666666666667,0.0,-1.0
14.0,6.0,27736.42612056089,62.0,0.5714285714285714,0.4285714285714286,0.0,-1.0
12.0,5.0,569.1673413604192,63.0,0.5833333333333334,0.41666666666666663,0.0,-1.0
13.0,4.0,19483.319733357825,64.0,0.6923076923076923,0.3076923076923077,0.0,-1.0
14.0,8.0,17630.389671808716,65.0,0.42857142857142855,0.5714285714285714,0.0,-1.0
14.0,5.0,24780.383254732933,66.0,0.6428571428571429,0.3571428571428571,0.0,-1.0
20.0,3.0,47914.6788157956,67.0,0.85,0.15000000000000002,0.0,-1.0
20.0,8.0,31652.808075878052,68.0,0.6,0.4,0.0,-1.0
14.0,2.0,39525.430013624435,69.0,0.8571428571428571,0.1428571428571429,0.0,-1.0
17.0,10.0,24658.85082787144,70.0,0.4117647058823529,0.5882352941176471,0.0,-1.0
13.0,3.0,27412.106727623446,71.0,0.7692307692307693,0.23076923076923073,0.0,-1.0
7.0,1.0,3718.851812748559,72.0,0.8571428571428571,0.1428571428571429,0.0,-1.0
7.0,3.0,16446.078067475533,73.0,0.5714285714285714,0.4285714285714286,0.0,-1.0
